,scene_name,scene_id,scene_ver,th_BG,Layer.mean.of.Layer.1..unclassified,Layer.mean.of.Layer.2..unclassified,Layer.mean.of.Layer.3..unclassified,th_RL1,th_RL2,th_RL3,2,3,4,5,6,7,8,9,10,11,12
93,HBW.HBW_1898_4,44B09CC1-68CF-11E8-9ECC-D89EF314B0B8,2,209,208.0876061,140.5175207,168.3108164,0.402555984,0.271838241,0.325605775,2,3,2,2,3,7,8,4,9,6,9
94,HBW.HBW_1898_5,44B09CC2-68CF-11E8-9ECC-D89EF314B0B8,2,219,219.042996,163.3956102,185.8335071,0.385454417,0.28753058,0.327015003,2,2,3,3,4,3,3,8,4,5,2
95,HBW.HBW_2554_A,44B09CC4-68CF-11E8-9ECC-D89EF314B0B8,2,217,206.1830853,166.2956594,187.4871115,0.368206531,0.296974642,0.334818828,2,2,3,3,4,3,3,8,3,5,2
96,HBW.HBW_2554_A1,44B09CC5-68CF-11E8-9ECC-D89EF314B0B8,2,216,210.5406219,170.5038003,188.9458891,0.369375791,0.299134559,0.331489651,2,2,3,3,4,3,3,1,4,5,2
97,HBW.HBW_2554_B,44B09CC6-68CF-11E8-9ECC-D89EF314B0B8,2,215,209.4707614,164.1417091,185.6440943,0.374552173,0.293499834,0.331947993,2,2,3,3,4,6,6,8,3,11,12
98,HBW.HBW_2554_B1,44B09CC7-68CF-11E8-9ECC-D89EF314B0B8,2,205,206.7298421,169.5709313,185.1829575,0.368184919,0.302005066,0.329810015,2,2,3,3,4,6,6,8,3,11,12
99,HBW.HBW_2554_C,44B09CC8-68CF-11E8-9ECC-D89EF314B0B8,2,218,208.9852081,166.2004037,187.5887707,0.371348119,0.295323328,0.333328553,2,2,3,3,4,3,3,8,4,5,2
100,HBW.HBW_2554_C1,44B09CC9-68CF-11E8-9ECC-D89EF314B0B8,2,207,200.2794822,164.0735421,181.6183331,0.366831482,0.300516758,0.33265176,2,2,3,3,4,6,6,8,3,11,12
101,HBW.HBW_2554_Q1,44B09CCA-68CF-11E8-9ECC-D89EF314B0B8,2,217,211.8223735,177.914085,193.970077,0.3628919,0.30480057,0.33230753,2,2,3,3,4,3,3,1,4,5,2
102,HBW.HBW_2554_Q2,44B09CCB-68CF-11E8-9ECC-D89EF314B0B8,2,217,214.7917154,176.6219348,195.611054,0.365898937,0.300876494,0.333224569,2,2,3,3,4,3,3,1,4,5,2
103,HBW.HBW_2554_Q3,44B09CCC-68CF-11E8-9ECC-D89EF314B0B8,2,212,207.9279193,172.4540332,189.9193863,0.364593076,0.302391072,0.333015852,2,2,3,3,4,3,3,1,4,5,2
104,HBW.HBW_2554_Q4,44B09CCD-68CF-11E8-9ECC-D89EF314B0B8,2,216,214.7466158,174.3687855,193.9360263,0.36831505,0.299062445,0.332622505,2,2,3,3,4,3,3,1,4,5,2
105,LBW.LBW_1479_1,44B09CCE-68CF-11E8-9ECC-D89EF314B0B8,2,194,199.5135392,119.0819644,157.1462136,0.419373647,0.250308014,0.330318338,1,3,1,1,6,5,5,7,6,4,6
106,LBW.LBW_1479_4,4AA7E4E9-68CF-11E8-9ECC-D89EF314B0B8,2,166,152.7452172,82.8653149,122.3841794,0.426668921,0.231470779,0.3418603,1,1,4,5,2,1,2,2,5,9,4
107,LBW.LBW_1479_5,4AA7E4EA-68CF-11E8-9ECC-D89EF314B0B8,2,188,185.9384808,107.7528155,153.3255881,0.415954044,0.241048648,0.342997308,1,1,1,4,5,5,4,3,2,2,1
108,LBW.LBW_1716_1,4AA7E4EB-68CF-11E8-9ECC-D89EF314B0B8,2,183,178.299096,104.9001643,141.6999314,0.419626819,0.246882476,0.333490706,1,1,4,5,1,4,7,6,8,1,11
109,LBW.LBW_1716_2,4AA7E4EC-68CF-11E8-9ECC-D89EF314B0B8,2,185,175.4654269,105.8887133,142.6963659,0.413784265,0.249707787,0.336507948,1,1,4,5,1,4,7,6,8,1,11
110,LBW.LBW_1716_4,4AA7E4EE-68CF-11E8-9ECC-D89EF314B0B8,2,190,175.7970181,108.7493417,146.4237763,0.407909977,0.252336143,0.339753881,1,1,1,4,1,4,4,6,8,1,1
111,LBW.LBW_1716_6,4AA7E4F0-68CF-11E8-9ECC-D89EF314B0B8,2,194,191.1067765,117.6460324,150.5467558,0.416083078,0.256142269,0.327774654,1,3,1,1,6,5,5,7,6,8,6
112,LBW.LBW_1716_7,4AA7E4F1-68CF-11E8-9ECC-D89EF314B0B8,2,193,187.5484186,123.3477713,150.5901173,0.406400831,0.267283708,0.326315461,1,3,1,1,6,5,4,7,6,2,6
113,LBW.LBW_1786_1,4AA7E4F2-68CF-11E8-9ECC-D89EF314B0B8,2,191,184.4680419,118.8263937,156.4345649,0.401253873,0.25847052,0.340275607,1,3,1,4,5,5,4,3,2,2,1
114,LBW.LBW_1786_2,4AA7E4F3-68CF-11E8-9ECC-D89EF314B0B8,2,177,178.5556908,108.7155635,148.1709821,0.410055975,0.249667015,0.34027701,1,1,4,4,1,4,7,6,8,1,1
115,LBW.LBW_1786_3,4AA7E4F4-68CF-11E8-9ECC-D89EF314B0B8,2,190,184.0019337,123.6080161,163.186535,0.390831154,0.262550848,0.346617998,1,3,1,1,5,2,1,3,7,2,7
116,LBW.LBW_1786_6,4AA7E4F7-68CF-11E8-9ECC-D89EF314B0B8,2,205,194.1687491,138.073034,171.2319469,0.385658154,0.274240791,0.340101055,2,3,2,2,3,7,8,5,10,6,10
117,LBW.LBW_1786_7,4AA7E4F8-68CF-11E8-9ECC-D89EF314B0B8,2,206,198.3033797,146.0309991,180.6350758,0.377742701,0.278170468,0.344086831,2,2,2,2,3,7,8,4,10,6,9
118,LBW.LBW_1958_3,4AA7E4FB-68CF-11E8-9ECC-D89EF314B0B8,2,195,198.1206028,126.0372661,158.2110313,0.410724246,0.261288126,0.327987628,1,3,2,1,6,2,5,7,7,4,3
119,LBW.LBW_1958_4,4AA7E4FC-68CF-11E8-9ECC-D89EF314B0B8,2,201,200.6676779,136.2036431,167.6956911,0.397702729,0.269941633,0.332355638,2,3,2,2,3,7,8,5,9,6,3
120,LBW.LBW_1958_5,4AA7E4FD-68CF-11E8-9ECC-D89EF314B0B8,2,200,198.166317,132.850187,164.5282368,0.399895914,0.268089188,0.332014898,2,3,2,1,6,2,8,5,7,7,3
121,LBW.LBW_2011_1,4AA7E4FE-68CF-11E8-9ECC-D89EF314B0B8,2,216,213.2664863,155.9187018,179.5886676,0.388623627,0.284121957,0.327254416,2,2,3,3,4,6,6,8,3,11,12
